KO	Function	Pathway	Enzyme	Modules	Hyperlink
K00115	GLD; glucose 1-dehydrogenase (FAD, quinone)	map00030(Pentose phosphate pathway); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:1.1.5.9		http://rest.kegg.jp/get/K00115
K00116	mqo; malate dehydrogenase (quinone)	map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.1.5.4	M00009 M00011	http://rest.kegg.jp/get/K00116
K00117	gcd; quinoprotein glucose dehydrogenase	map00030(Pentose phosphate pathway); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:1.1.5.2		http://rest.kegg.jp/get/K00117
K00118	gfo; glucose-fructose oxidoreductase		EC:1.1.99.28		http://rest.kegg.jp/get/K00118
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	map00010(Glycolysis / Gluconeogenesis); map00071(Fatty acid degradation); map00350(Tyrosine metabolism); map00625(Chloroalkane and chloroalkene degradation); map00626(Naphthalene degradation); map00680(Methane metabolism); map00830(Retinol metabolism); map00980(Metabolism of xenobiotics by cytochrome P450); map00982(Drug metabolism - cytochrome P450); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01220(Degradation of aromatic compounds); map05204(Chemical carcinogenesis)	EC:1.1.1.284 EC:1.1.1.1		http://rest.kegg.jp/get/K00121
K00122	FDH; formate dehydrogenase	map00630(Glyoxylate and dicarboxylate metabolism); map00680(Methane metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.17.1.9		http://rest.kegg.jp/get/K00122
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit	map00630(Glyoxylate and dicarboxylate metabolism); map00680(Methane metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.17.1.9		http://rest.kegg.jp/get/K00123
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	map00630(Glyoxylate and dicarboxylate metabolism); map00680(Methane metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)			http://rest.kegg.jp/get/K00124
K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit	map00680(Methane metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.17.98.3 EC:1.8.98.6	M00356 M00357 M00563 M00567	http://rest.kegg.jp/get/K00125
K00126	fdsD; formate dehydrogenase subunit delta	map00630(Glyoxylate and dicarboxylate metabolism); map00680(Methane metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.17.1.9		http://rest.kegg.jp/get/K00126
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma	map00630(Glyoxylate and dicarboxylate metabolism); map00680(Methane metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)			http://rest.kegg.jp/get/K00127
K00128	ALDH; aldehyde dehydrogenase (NAD+)	map00010(Glycolysis / Gluconeogenesis); map00053(Ascorbate and aldarate metabolism); map00071(Fatty acid degradation); map00280(Valine, leucine and isoleucine degradation); map00310(Lysine degradation); map00330(Arginine and proline metabolism); map00340(Histidine metabolism); map00380(Tryptophan metabolism); map00410(beta-Alanine metabolism); map00561(Glycerolipid metabolism); map00620(Pyruvate metabolism); map00625(Chloroalkane and chloroalkene degradation); map00903(Limonene and pinene degradation); map00981(Insect hormone biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:1.2.1.3	M00135	http://rest.kegg.jp/get/K00128
K00129	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+)	map00010(Glycolysis / Gluconeogenesis); map00340(Histidine metabolism); map00350(Tyrosine metabolism); map00360(Phenylalanine metabolism); map00410(beta-Alanine metabolism); map00980(Metabolism of xenobiotics by cytochrome P450); map00982(Drug metabolism - cytochrome P450); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map05204(Chemical carcinogenesis)	EC:1.2.1.5		http://rest.kegg.jp/get/K00129
K00130	betB, gbsA; betaine-aldehyde dehydrogenase	map00260(Glycine, serine and threonine metabolism); map01100(Metabolic pathways)	EC:1.2.1.8	M00555	http://rest.kegg.jp/get/K00130
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	map00010(Glycolysis / Gluconeogenesis); map00030(Pentose phosphate pathway); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.2.1.9	M00308 M00633	http://rest.kegg.jp/get/K00131
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	map00620(Pyruvate metabolism); map00650(Butanoate metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.2.1.10		http://rest.kegg.jp/get/K00132
K00133	asd; aspartate-semialdehyde dehydrogenase	map00260(Glycine, serine and threonine metabolism); map00261(Monobactam biosynthesis); map00270(Cysteine and methionine metabolism); map00300(Lysine biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01210(2-Oxocarboxylic acid metabolism); map01230(Biosynthesis of amino acids)	EC:1.2.1.11	M00016 M00017 M00018 M00033 M00525 M00526 M00527	http://rest.kegg.jp/get/K00133
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	map00010(Glycolysis / Gluconeogenesis); map00710(Carbon fixation in photosynthetic organisms); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01230(Biosynthesis of amino acids); map04066(HIF-1 signaling pathway); map05010(Alzheimer's disease)	EC:1.2.1.12	M00001 M00002 M00003 M00165 M00166 M00308 M00552	http://rest.kegg.jp/get/K00134
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	map00250(Alanine, aspartate and glutamate metabolism); map00310(Lysine degradation); map00350(Tyrosine metabolism); map00650(Butanoate metabolism); map00760(Nicotinate and nicotinamide metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.2.1.16 EC:1.2.1.79 EC:1.2.1.20	M00027	http://rest.kegg.jp/get/K00135
K00137	prr; aminobutyraldehyde dehydrogenase	map00330(Arginine and proline metabolism); map00410(beta-Alanine metabolism); map01100(Metabolic pathways)	EC:1.2.1.19		http://rest.kegg.jp/get/K00137
K00138	aldB; aldehyde dehydrogenase	map00010(Glycolysis / Gluconeogenesis); map00620(Pyruvate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments)	EC:1.2.1.-		http://rest.kegg.jp/get/K00138
K00139	ALDH5A1; succinate-semialdehyde dehydrogenase	map00250(Alanine, aspartate and glutamate metabolism); map00650(Butanoate metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.2.1.24	M00027	http://rest.kegg.jp/get/K00139
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	map00280(Valine, leucine and isoleucine degradation); map00410(beta-Alanine metabolism); map00562(Inositol phosphate metabolism); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01200(Carbon metabolism)	EC:1.2.1.18 EC:1.2.1.27	M00013	http://rest.kegg.jp/get/K00140
K00141	xylC; benzaldehyde dehydrogenase (NAD)	map00622(Xylene degradation); map00623(Toluene degradation); map00627(Aminobenzoate degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.2.1.28	M00537 M00538	http://rest.kegg.jp/get/K00141
K00142	AASDH; acyl-CoA synthetase		EC:6.2.1.-		http://rest.kegg.jp/get/K00142
K00143	LYS2; L-2-aminoadipate reductase	map00300(Lysine biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01230(Biosynthesis of amino acids)	EC:1.2.1.95	M00030	http://rest.kegg.jp/get/K00143
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	map00220(Arginine biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01210(2-Oxocarboxylic acid metabolism); map01230(Biosynthesis of amino acids)	EC:1.2.1.38	M00028 M00845	http://rest.kegg.jp/get/K00145
K00146	feaB; phenylacetaldehyde dehydrogenase	map00360(Phenylalanine metabolism); map00643(Styrene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments)	EC:1.2.1.39		http://rest.kegg.jp/get/K00146
K00147	proA; glutamate-5-semialdehyde dehydrogenase	map00330(Arginine and proline metabolism); map00332(Carbapenem biosynthesis); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics); map01230(Biosynthesis of amino acids)	EC:1.2.1.41	M00015	http://rest.kegg.jp/get/K00147
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase	map00625(Chloroalkane and chloroalkene degradation); map00680(Methane metabolism); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01200(Carbon metabolism)	EC:1.2.1.46		http://rest.kegg.jp/get/K00148
K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1	map00010(Glycolysis / Gluconeogenesis); map00053(Ascorbate and aldarate metabolism); map00071(Fatty acid degradation); map00280(Valine, leucine and isoleucine degradation); map00310(Lysine degradation); map00330(Arginine and proline metabolism); map00340(Histidine metabolism); map00380(Tryptophan metabolism); map00410(beta-Alanine metabolism); map00561(Glycerolipid metabolism); map00620(Pyruvate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics)	EC:1.2.1.47 EC:1.2.1.3	M00135	http://rest.kegg.jp/get/K00149
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P))	map00010(Glycolysis / Gluconeogenesis); map00710(Carbon fixation in photosynthetic organisms); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map01230(Biosynthesis of amino acids)	EC:1.2.1.59	M00001 M00002 M00003 M00165 M00166	http://rest.kegg.jp/get/K00150
K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase	map00350(Tyrosine metabolism); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.2.1.60	M00533	http://rest.kegg.jp/get/K00151
K00152	nahF; salicylaldehyde dehydrogenase	map00626(Naphthalene degradation); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01220(Degradation of aromatic compounds)	EC:1.2.1.65	M00534	http://rest.kegg.jp/get/K00152
K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase		EC:1.1.1.306		http://rest.kegg.jp/get/K00153
K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase		EC:1.2.1.68		http://rest.kegg.jp/get/K00154
K00156	poxB; pyruvate dehydrogenase (quinone)	map00620(Pyruvate metabolism)	EC:1.2.5.1		http://rest.kegg.jp/get/K00156
K00157	AOX; aldehyde oxidase	map00280(Valine, leucine and isoleucine degradation); map00350(Tyrosine metabolism); map00380(Tryptophan metabolism); map00750(Vitamin B6 metabolism); map00760(Nicotinate and nicotinamide metabolism); map00830(Retinol metabolism); map00982(Drug metabolism - cytochrome P450); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map04630(Jak-STAT signaling pathway)	EC:1.2.3.1		http://rest.kegg.jp/get/K00157
K00158	E1.2.3.3, poxL; pyruvate oxidase	map00620(Pyruvate metabolism); map01100(Metabolic pathways)	EC:1.2.3.3		http://rest.kegg.jp/get/K00158
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	map00010(Glycolysis / Gluconeogenesis); map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map04066(HIF-1 signaling pathway); map04922(Glucagon signaling pathway); map05230(Central carbon metabolism in cancer)	EC:1.2.4.1	M00307	http://rest.kegg.jp/get/K00161
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	map00010(Glycolysis / Gluconeogenesis); map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism); map04066(HIF-1 signaling pathway); map04922(Glucagon signaling pathway); map05230(Central carbon metabolism in cancer)	EC:1.2.4.1	M00307	http://rest.kegg.jp/get/K00162
K00163	aceE; pyruvate dehydrogenase E1 component	map00010(Glycolysis / Gluconeogenesis); map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.2.4.1	M00307	http://rest.kegg.jp/get/K00163
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	map00020(Citrate cycle (TCA cycle)); map00310(Lysine degradation); map00380(Tryptophan metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.2.4.2	M00009 M00011 M00032	http://rest.kegg.jp/get/K00164
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	map00280(Valine, leucine and isoleucine degradation); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:1.2.4.4	M00036	http://rest.kegg.jp/get/K00166
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	map00280(Valine, leucine and isoleucine degradation); map00640(Propanoate metabolism); map01100(Metabolic pathways); map01110(Biosynthesis of secondary metabolites); map01130(Biosynthesis of antibiotics)	EC:1.2.4.4	M00036	http://rest.kegg.jp/get/K00167
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit	map00010(Glycolysis / Gluconeogenesis); map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map00633(Nitrotoluene degradation); map00640(Propanoate metabolism); map00650(Butanoate metabolism); map00680(Methane metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.2.7.1	M00173 M00307 M00374 M00620	http://rest.kegg.jp/get/K00169
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit	map00010(Glycolysis / Gluconeogenesis); map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map00633(Nitrotoluene degradation); map00640(Propanoate metabolism); map00650(Butanoate metabolism); map00680(Methane metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.2.7.1	M00173 M00307 M00374 M00620	http://rest.kegg.jp/get/K00170
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit	map00010(Glycolysis / Gluconeogenesis); map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map00633(Nitrotoluene degradation); map00640(Propanoate metabolism); map00650(Butanoate metabolism); map00680(Methane metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.2.7.1	M00173 M00307 M00374 M00620	http://rest.kegg.jp/get/K00171
K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit	map00010(Glycolysis / Gluconeogenesis); map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map00633(Nitrotoluene degradation); map00640(Propanoate metabolism); map00650(Butanoate metabolism); map00680(Methane metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.2.7.1	M00173 M00307 M00374 M00620	http://rest.kegg.jp/get/K00172
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	map00010(Glycolysis / Gluconeogenesis); map00020(Citrate cycle (TCA cycle)); map00620(Pyruvate metabolism); map00650(Butanoate metabolism); map00720(Carbon fixation pathways in prokaryotes); map01100(Metabolic pathways); map01120(Microbial metabolism in diverse environments); map01130(Biosynthesis of antibiotics); map01200(Carbon metabolism)	EC:1.2.7.3 EC:1.2.7.11	M00009 M00011 M00173 M00620	http://rest.kegg.jp/get/K00174
